reference	merge	del_cnt	ins_cnt	tot_cnt	tot_af	del_af	ins_af
hg19	exact	78057	261834	339891	0.0384287	0.0808983	0.0384287
hg19	truvari	61514	129385	190899	0.0764992	0.10158	0.0764992
hg19	jasmine	48600	77241	125841	0.130267	0.129899	0.130267
hg19	survivor	30372	41473	71845	0.194308	0.180363	0.194308
hg19	naive	44429	61330	105759	0.142796	0.135438	0.142796
grch38	exact	80365	266836	347201	0.0384033	0.0800767	0.0384033
grch38	truvari	63455	132287	195742	0.0761984	0.100389	0.0761984
grch38	jasmine	50305	79466	129771	0.128953	0.127927	0.128953
grch38	survivor	31583	42750	74333	0.191906	0.17692	0.191906
grch38	naive	46112	63292	109404	0.140937	0.133035	0.140937
chm13	exact	121038	208899	329937	0.0352016	0.0608291	0.0352016
chm13	truvari	93025	119674	212699	0.0605649	0.0780815	0.0605649
chm13	jasmine	50278	79466	129744	0.128953	0.127867	0.128953
chm13	survivor	40554	46596	87150	0.13078	0.152056	0.13078
chm13	naive	64361	73233	137594	0.0920821	0.107777	0.0920821
